Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Brian Rowsom,New Jersey,Black,1988,1990,F,6-9,220,"October 23, 1965",University of North Carolina at Wilmington
Brandon Roy,Washington,Black,2007,2013,G,6-6,215,"July 23, 1984",University of Washington
Donald Royal,Louisiana,Black,1990,1998,F,6-8,210,"May 22, 1966",University of Notre Dame
Clifford Rozier,Florida,Black,1995,1998,C-F,6-11,245,"October 31, 1972",University of Louisville
Terry Rozier,Ohio,Black,2016,2016,G,6-2,190,"March 17, 1994",University of Louisville
Ricky Rubio,Spain,White,2012,2016,G,6-4,194,"October 21, 1990",
Guy Rucker,Michigan,Black,2003,2003,F-C,6-11,265,"July 27, 1977",University of Iowa
Delaney Rudd,North Carolina,Black,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest University
Damjan Rudez,Croatia,White,2015,2016,F,6-10,228,"June 17, 1986",
Michael Ruffin,Colorado,Black,2000,2009,F,6-9,246,"January 21, 1977",University of Tulsa
Trevor Ruffin,New York,Black,1995,1996,G,6-1,185,"September 26, 1970",University of Hawaii
Jeff Ruland,New York,White,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College
Stefano Rusconi,Italy,White,1996,1996,C-F,6-9,240,"October 2, 1968",
Brandon Rush,Missouri,Black,2009,2016,G-F,6-6,210,"July 7, 1985",University of Kansas
Kareem Rush,Missouri,Black,2003,2010,G,6-6,215,"October 30, 1980",University of Missouri
Bryon Russell,California,Black,1994,2006,F,6-7,225,"December 31, 1970","California State University, Long Beach"
Campy Russell,Tennessee,Black,1975,1985,F,6-8,215,"January 12, 1952",University of Michigan
D'Angelo Russell,Kentucky,Black,2016,2016,G,6-5,195,"February 23, 1996",Ohio State University
Walker Russell,Michigan,Black,1983,1988,G,6-5,195,"October 26, 1960",Western Michigan University
Walker Russell,Michigan,Black,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University
Arvydas Sabonis*,Lithuania,White,1996,2003,C,7-3,279,"December 19, 1964",
Robert Sacre,Louisiana,White,2013,2016,C,7-0,270,"June 6, 1989",Gonzaga University
John Salley,New York,Black,1987,2000,F-C,6-11,230,"May 16, 1964",Georgia Institute of Technology
John Salmons,Pennsylvania,Black,2003,2015,G,6-7,210,"December 12, 1979",University of Miami
Kevin Salvadori,West Virginia,White,1997,1998,C,7-0,231,"December 30, 1970",University of North Carolina
Soumaila Samake,Mali,Black,2001,2003,C,7-0,230,"March 18, 1978",
Cheikh Samb,Senegal,Black,2008,2009,C,7-1,245,"October 22, 1984",
JaKarr Sampson,Ohio,Black,2015,2016,G-F,6-9,214,"March 20, 1993",St. John's University
Jamal Sampson,California,Black,2003,2007,F-C,6-11,235,"May 15, 1983",University of California
Ralph Sampson*,Virginia,Black,1984,1992,C-F,7-4,228,"July 7, 1960",University of Virginia
Samardo Samuels,Jamaica,Black,2011,2013,F,6-9,260,"January 9, 1989",University of Louisville
Pepe Sanchez,Argentina,White,2001,2003,G,6-4,195,"May 8, 1977",Temple University
Jeff Sanders,Georgia,Black,1990,1993,F,6-8,225,"January 14, 1966",Georgia Southern University
Larry Sanders,Florida,Black,2011,2015,F,6-11,235,"November 21, 1988",Virginia Commonwealth University
Melvin Sanders,Kansas,Black,2006,2006,G-F,6-5,210,"January 3, 1981",Oklahoma State University
Mike Sanders,Louisiana,Black,1983,1993,F-G,6-6,210,"May 7, 1960","University of California, Los Angeles"
Daniel Santiago,Texas,Black,2001,2005,C,7-1,256,"June 24, 1976",Saint Vincent College
Wayne Sappleton,Jamaica,Black,1985,1985,F,6-9,215,"November 17, 1960",Loyola University of Chicago
Jason Sasser,Texas,Black,1997,1999,F,6-7,225,"January 13, 1974",Texas Tech University
Jeryl Sasser,Texas,Black,2002,2003,G,6-6,200,"February 13, 1979",Southern Methodist University
Kenny Satterfield,New York,Black,2002,2003,G,6-2,186,"April 10, 1981",University of Cincinnati
Predrag Savovic,Croatia,White,2003,2003,G,6-6,225,"May 21, 1976",University of Hawaii
Brian Scalabrine,California,White,2002,2012,F,6-9,241,"March 18, 1978",University of Southern California
Alex Scales,Wisconsin,Black,2006,2006,G,6-4,185,"July 3, 1978",University of Oregon
Danny Schayes,New York,White,1982,1999,C-F,6-11,235,"May 10, 1959",Syracuse University
Steve Scheffler,Michigan,White,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue University
Tom Scheffler,Michigan,White,1985,1985,C,6-11,240,"October 27, 1954",Purdue University
Luke Schenscher,Australia,White,2006,2007,C,7-1,255,"December 31, 1982",Georgia Institute of Technology
Dwayne Schintzius,Florida,White,1991,1999,C,7-1,260,"October 14, 1968",University of Florida
Russ Schoene,Illinois,White,1983,1989,F-C,6-10,210,"April 16, 1960",University of Tennessee at Chattanooga
Detlef Schrempf,Germany,White,1986,2001,F-C,6-9,214,"January 21, 1963",University of Washington
Dennis Schroder,Germany,Black,2014,2016,G,6-1,172,"September 15, 1993",
John Schweitz,New York,Black,1985,1987,G,6-6,210,"April 19, 1960",University of Richmond
Luis Scola,Argentina,White,2008,2016,F,6-9,240,"April 30, 1980",
Alvin Scott,Tennessee,Black,1978,1985,F-G,6-7,185,"September 14, 1955",Oral Roberts University
Brent Scott,Michigan,White,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University
Byron Scott,Utah,Black,1984,1997,G,6-3,195,"March 28, 1961",Arizona State University
Dennis Scott,Maryland,Black,1991,2000,F,6-8,229,"September 5, 1968",Georgia Institute of Technology
James Scott,New Jersey,White,1997,1997,F,6-6,180,"June 6, 1972",St. John's University
Mike Scott,Virginia,Black,2013,2016,F,6-8,237,"July 16, 1988",University of Virginia
Shawnelle Scott,New York,White,1997,2002,C,6-10,250,"June 16, 1972",St. John's University
Carey Scurry,New York,Black,1986,1988,F,6-7,188,"December 4, 1962",Long Island University
Shea Seals,Oklahoma,Black,1998,1998,G,6-5,210,"August 26, 1975",University of Tulsa
Malik Sealy,New York,Black,1993,2000,G,6-8,190,"February 1, 1970",St. John's University
Thabo Sefolosha,Switzerland,Black,2007,2016,G-F,6-7,220,"May 2, 1984",
Rony Seikaly,Lebanon,White,1989,1999,C,6-11,230,"May 10, 1965",Syracuse University
Josh Selby,Maryland,Black,2012,2013,G,6-2,183,"March 27, 1991",University of Kansas
Brad Sellers,Ohio,Black,1987,1993,C-F,7-0,210,"December 17, 1962",Ohio State University
Mouhamed Sene,Senegal,Black,2007,2009,F,6-11,230,"May 12, 1986",
Kevin Seraphin,France,Black,2011,2016,F,6-10,278,"December 7, 1989",
Ansu Sesay,North Carolina,Black,2002,2005,F,6-9,225,"July 29, 1976",University of Mississippi
Ramon Sessions,South Carolina,Black,2008,2016,G,6-3,190,"April 11, 1986","University of Nevada, Reno"
Ha Seung-Jin,Korea,Others,2005,2006,C,7-3,305,"August 4, 1985",
Tom Sewell,Florida,Black,1985,1985,G,6-5,185,"March 11, 1962",Lamar University
Charles Shackleford,North Carolina,Black,1989,1999,F-C,6-10,225,"April 22, 1966",North Carolina State University
Mustafa Shakur,Pennsylvania,Black,2011,2014,G,6-3,190,"August 18, 1984",University of Arizona
God Shammgod,New York,Black,1998,1998,G,6-0,169,"April 29, 1976",Providence College
Walter Sharpe,Alabama,Black,2009,2009,F,6-9,245,"July 18, 1986",University of Alabama at Birmingham
John Shasky,Michigan,White,1989,1991,C,6-11,235,"July 31, 1964",University of Minnesota
Brian Shaw,California,Black,1989,2003,G,6-6,190,"March 22, 1966","University of California, Santa Barbara"
Casey Shaw,Ohio,White,1999,1999,C,6-11,260,"July 20, 1975",University of Toledo
Lonnie Shelton,California,Black,1977,1986,F-C,6-8,240,"October 19, 1955",Oregon State University
Tornike Shengelia,Georgia,White,2013,2014,F,6-9,217,"October 5, 1991",
Jeffrey Sheppard,Georgia,White,1999,1999,G,6-3,190,"September 29, 1974",University of Kentucky
Paul Shirley,Kansas,White,2003,2005,F,6-10,230,"December 23, 1977",Iowa State University
Purvis Short,Mississippi,Black,1979,1990,F-G,6-7,210,"July 2, 1957",Jackson State University
Dexter Shouse,Indiana,Black,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama
Iman Shumpert,Illinois,Black,2012,2016,G,6-5,220,"June 26, 1990",Georgia Institute of Technology
Alexey Shved,Russia,White,2013,2015,G,6-6,190,"December 16, 1988",
Jerry Sichting,Indiana,White,1981,1990,G,6-1,168,"November 29, 1956",Purdue University
Jack Sikma,Illinois,White,1978,1991,C-F,6-11,230,"November 14, 1955",Illinois Wesleyan University
Xavier Silas,Texas,Black,2012,2012,G,6-5,205,"January 22, 1988",Northern Illinois University
Garret Siler,Georgia,Black,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
Wayne Simien,Kansas,Black,2006,2007,F,6-9,255,"March 9, 1983",University of Kansas
Bobby Simmons,Illinois,Black,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul University
Cedric Simmons,North Carolina,Black,2007,2009,F,6-9,235,"January 3, 1986",North Carolina State University
Jonathon Simmons,Texas,Black,2016,2016,G-F,6-6,195,"September 14, 1989",University of Houston
Lionel Simmons,Pennsylvania,Black,1991,1997,F,6-7,210,"November 14, 1968",La Salle University
Miles Simon,Sweden,Black and White,1999,1999,G,6-3,202,"November 21, 1975",University of Arizona
Dickey Simpkins,Maryland,Black,1995,2002,F,6-9,248,"April 6, 1972",Providence College
Alvin Sims,Kentucky,Black,1999,1999,G,6-4,235,"October 18, 1974",University of Louisville
Courtney Sims,Massachusetts,Black,2008,2009,C,6-10,245,"October 21, 1983",University of Michigan
Henry Sims,Maryland,Black,2013,2015,C,6-10,248,"March 27, 1990",Georgetown University
Kyle Singler,Oregon,White,2013,2016,F,6-8,228,"May 4, 1988",Duke University
Sean Singletary,Pennsylvania,Black,2009,2009,G,6-0,185,"September 6, 1985",University of Virginia
Chris Singleton,Georgia,Black,2012,2014,F,6-8,230,"November 21, 1989",Florida State University
James Singleton,Illinois,Black,2006,2012,F,6-8,216,"July 20, 1981",Murray State University
McKinley Singleton,Tennessee,Black,1987,1987,G,6-5,175,"October 29, 1961",University of Alabama at Birmingham
Charlie Sitton,Oregon,White,1985,1985,F,6-8,210,"July 3, 1962",Oregon State University
Peyton Siva,Washington,Black and White,2014,2014,G,6-0,185,"October 24, 1990",University of Louisville
Scott Skiles,Indiana,White,1987,1996,G,6-1,180,"March 5, 1964",Michigan State University
Brian Skinner,Texas,Black,1999,2012,F,6-9,255,"May 19, 1976",Baylor University
Reggie Slater,Texas,Black,1995,2003,F,6-7,215,"August 27, 1970",University of Wyoming
Tamar Slay,West Virginia ,Black,2003,2005,G,6-8,215,"April 2, 1980",Marshall University
Donald Sloan,Louisiana,Black,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M University
Uros Slokar,Slovenia,White,2007,2007,F,6-10,238,"May 14, 1983",
Tom Sluby,District of Columbia,Black,1985,1985,G,6-4,200,"February 18, 1962",University of Notre Dame
Keith Smart,Louisiana,Black,1989,1989,G,6-1,175,"September 21, 1964",Indiana University
Marcus Smart,Texas,Black,2015,2016,G,6-4,220,"March 6, 1994",Oklahoma State University
Charles Smith,Connecticut,Black,1989,1997,F-C,6-10,230,"July 16, 1965",University of Pittsburgh
Charles Smith,District of Columbia,Black,1990,1996,G,6-1,160,"November 29, 1967",Georgetown University
Charles Smith,Texas,Black,1998,2006,G,6-4,194,"August 22, 1975",University of New Mexico
Chris Smith,Connecticut,Black,1993,1995,G,6-3,190,"May 17, 1970",University of Connecticut
Chris Smith,New Jersey,Black,2014,2014,G,6-2,200,"October 13, 1987",University of Louisville
Clinton Smith,Ohio,Black,1987,1991,F,6-6,210,"January 19, 1964",Cleveland State University
Craig Smith,California,Black,2007,2012,F,6-7,250,"November 10, 1983",Boston College
Derek Smith,Georgia,Black,1983,1991,G-F,6-6,205,"November 1, 1961",University of Louisville
Donta Smith,Kentucky,Black,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College
Doug Smith,Michigan,Black,1992,1996,F,6-10,220,"September 17, 1969",University of Missouri
Greg Smith,California,Black,2012,2016,C,6-10,250,"January 8, 1991","California State University, Fresno"
Ish Smith,North Carolina,Black,2011,2016,G,6-0,175,"July 5, 1988",Wake Forest University
J.R. Smith,New Jersey,Black,2005,2016,G-F,6-6,225,"September 9, 1985",
Jabari Smith,Georgia,Black,2001,2005,C,6-11,250,"February 12, 1977",Louisiana State University
Jason Smith,Colorado,White,2008,2016,F-C,7-0,245,"March 2, 1986",Colorado State University
Jerry Smith,Wisconsin,Black,2012,2012,G,6-2,190,"September 26, 1987",University of Louisville
Joe Smith,Virginia,Black,1996,2011,F,6-10,225,"July 26, 1975",University of Maryland
Josh Smith,Georgia,Black,2005,2016,F,6-9,225,"December 5, 1985",
Keith Smith,Michigan,Black,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount University
Kenny Smith,New York,Black,1988,1997,G,6-3,170,"March 8, 1965",University of North Carolina
LaBradford Smith,Texas,Black,1992,1994,G,6-3,200,"April 3, 1969",University of Louisville
Larry Smith,Mississippi,Black,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State University
Leon Smith,Illinois,Black,2002,2004,C,6-10,235,"November 2, 1980",
Michael Smith,New York,White,1990,1995,F,6-10,225,"May 19, 1965",Brigham Young University
Michael Smith,District of Columbia,Black,1995,2001,F,6-8,230,"March 28, 1972",Providence College
Mike Smith,Louisiana,Black,2001,2001,F,6-8,195,"April 15, 1976",University of Louisiana at Monroe
Nolan Smith,Kentucky,Black,2012,2013,G,6-2,185,"July 25, 1988",Duke University
Otis Smith,Florida,Black,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University
Reggie Smith,California,Black,1993,1994,C,6-10,240,"August 21, 1970",Texas Christian University
Robert Smith,California,Black,1978,1985,G,5-11,165,"March 10, 1955","University of Nevada, Las Vegas"
Russ Smith,New York,Black,2015,2016,G,6-0,165,"April 19, 1991",University of Louisville
Steve Smith,Michigan,Black,1992,2005,G,6-7,200,"March 31, 1969",Michigan State University
Steven Smith,Pennsylvania,Black,2007,2007,F,6-8,235,"April 12, 1983",La Salle University
Stevin Smith,Texas,Black,1997,1997,G,6-2,208,"January 24, 1972",Arizona State University
Theron Smith,Florida,Black,2004,2005,F,6-8,225,"October 3, 1980",Ball State University
Tony Smith,Wisconsin,Black,1991,2001,G,6-3,185,"June 14, 1968",Marquette University
Rik Smits,Netherlands,White,1989,2000,C,7-4,250,"August 23, 1966",Marist College
Mike Smrek,Canada,White,1986,1992,C,7-0,250,"August 31, 1962",Canisius College
Tony Snell,California,Black,2014,2016,G-F,6-7,200,"November 10, 1991",University of New Mexico
Eric Snow,Ohio,Black,1996,2008,G,6-3,190,"April 24, 1973",Michigan State University
Kirk Snyder,California,Black,2005,2008,G,6-6,225,"June 5, 1983","University of Nevada, Reno"
Ricky Sobers,New York,Black,1976,1986,G,6-3,198,"January 15, 1953","University of Nevada, Las Vegas"
Will Solomon,Connecticut,Black,2002,2009,G,6-1,185,"July 20, 1978",Clemson University
Darius Songaila,Lithuania,White,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest University
James Southerland,New York,Black,2014,2014,F,6-8,215,"April 28, 1990",Syracuse University
Pape Sow,Senegal,Black,2005,2007,F,6-10,250,"November 22, 1981","California State University, Fullerton"
Vassilis Spanoulis,Greece,White,2007,2007,G,6-4,195,"August 7, 1982",
Rory Sparrow,Virginia,Black,1981,1992,G,6-2,175,"June 12, 1958",Villanova University
Marreese Speights,Florida,Black,2009,2016,C-F,6-10,255,"August 4, 1987",University of Florida
Andre Spencer,California,Black,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University
Elmore Spencer,Georgia,Black,1993,1997,C,7-0,270,"December 6, 1969","University of Nevada, Las Vegas"
Felton Spencer,Kentucky,Black,1991,2002,C,7-0,265,"January 15, 1968",University of Louisville
Tiago Splitter,Brazil,White,2011,2016,F-C,6-11,245,"January 1, 1985",
Latrell Sprewell,Wisconsin,Black,1993,2005,G,6-5,190,"September 8, 1970",University of Alabama
Larry Spriggs,Maryland,Black,1982,1986,F,6-7,230,"September 8, 1959",Howard University
Ryan Stack,Tennessee,White,1999,2000,F,6-11,215,"July 24, 1975",University of South Carolina
Jerry Stackhouse,North Carolina,Black,1996,2013,G-F,6-6,218,"November 5, 1974",University of North Carolina
Terence Stansbury,Delaware,Black,1985,1987,G,6-5,170,"February 27, 1961",Temple University
John Starks,Oklahoma,Black and White,1989,2002,G,6-3,180,"August 10, 1965",Oklahoma State University
Nik Stauskas,Canada,White,2015,2016,G,6-6,205,"October 7, 1993",University of Michigan
Matt Steigenga,Michigan,White,1997,1997,F,6-7,225,"March 27, 1970",Michigan State University
Vladimir Stepania,Georgia,White,1999,2004,C,7-0,236,"May 8, 1976",
D.J. Stephens,Texas,Black,2014,2014,G-F,6-5,190,"December 19, 1990",University of Memphis
Everette Stephens,Illinois,Black,1989,1991,G,6-2,175,"October 21, 1966",Purdue University
Joe Stephens,California,Black,1997,2000,F,6-7,210,"January 28, 1973",University of Arkansas at Little Rock
Lance Stephenson,New York,Black,2011,2016,G-F,6-5,230,"September 5, 1990",University of Cincinnati
Alex Stepheson,California,Black,2016,2016,F,6-10,270,"August 7, 1987",University of Southern California
Brook Steppe,North Carolina,White,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Institute of Technology
Barry Stevens,Michigan,Black,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State University
DeShawn Stevenson,California,Black,2001,2013,G,6-5,210,"April 3, 1981",
Kebu Stewart,New York,Black,1998,1998,F,6-8,239,"December 19, 1973","California State University, Bakersfield"
Larry Stewart,Pennsylvania,Black,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University
Michael Stewart,France,Black,1998,2005,C,6-10,230,"April 25, 1975",University of California
Greg Stiemsma,Wisconsin,White,2012,2015,C,6-11,260,"September 26, 1985",University of Wisconsin
Steve Stipanovich,Missouri,White,1984,1988,C,6-11,245,"November 17, 1960",University of Missouri
Bryant Stith,Virginia,Black,1993,2002,G,6-5,208,"December 10, 1970",University of Virginia
Alex Stivrins,Nebraska,White,1986,1993,F,6-8,220,"November 29, 1962",University of Colorado
David Stockton,Washington,White,2015,2015,G,5-11,165,"June 24, 1991",Gonzaga University
John Stockton*,Washington,White,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga University
Peja Stojakovic,Croatia,White,1999,2011,F-G,6-9,220,"June 9, 1977",
Ed Stokes,New York,Black,1998,1998,C,7-0,264,"September 3, 1971",University of Arizona
Greg Stokes,Connecticut,Black,1986,1990,F-C,6-10,220,"August 5, 1963",University of Iowa
Jarnell Stokes,Tennessee,Black,2015,2016,F-C,6-9,263,"January 7, 1994",University of Tennessee
Julyan Stone,Virginia,Black,2012,2014,G,6-6,200,"December 7, 1988",University of Texas at El Paso
Awvee Storey,Illinois,Black,2005,2008,G-F,6-6,222,"April 18, 1977",Arizona State University
Damon Stoudamire,Oregon,Black,1996,2008,G,5-10,171,"September 3, 1973",University of Arizona
Salim Stoudamire,Oregon,Black,2006,2008,G,6-1,179,"October 11, 1982",University of Arizona
Amar'e Stoudemire,Florida,Black,2003,2016,F-C,6-10,245,"November 16, 1982",
D.J. Strawberry,New York,Black,2008,2008,G,6-5,201,"June 15, 1985",University of Maryland
Erick Strickland,Alabama,Black,1997,2005,G,6-3,210,"November 25, 1973",University of Nebraska
Mark Strickland,Georgia,Black,1995,2003,F,6-9,210,"July 14, 1970",Temple University
Rod Strickland,New York,Black,1989,2005,G,6-3,175,"July 11, 1966",DePaul University
John Stroeder,Washington,White,1988,1989,F,6-10,260,"July 24, 1958",University of Montana
Derek Strong,California,Black,1992,2001,F,6-8,220,"February 9, 1968",Xavier University
Lamont Strothers,Virginia,Black,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University
Rodney Stuckey,Washington,Black,2008,2016,G,6-5,205,"April 21, 1986",Eastern Washington University
Jared Sullinger,Ohio,Others,2013,2016,F,6-9,260,"March 4, 1992",Ohio State University
DaJuan Summers,Maryland,Black,2010,2013,F,6-8,230,"January 24, 1988",Georgetown University
Barry Sumpter,Illinois,Black,1989,1989,F-C,6-11,215,"November 11, 1965",Austin Peay State University
Bruno Sundov,Croatia,White,1999,2005,C,7-2,220,"February 10, 1980",
Jon Sundvold,South Dakota,White,1984,1992,G,6-2,170,"July 2, 1961",University of Missouri
Bob Sura,Pennsylvania,White,1996,2005,G,6-5,200,"March 25, 1973",Florida State University
Dane Suttle,California,Black,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine University
Greg Sutton,California,Black,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts University
Mike Sweetney,Maryland,Black,2004,2007,F,6-8,275,"October 25, 1982",Georgetown University
Robert Swift,California,White,2005,2009,C,7-0,245,"December 3, 1985",
Stromile Swift,Louisiana,Black,2001,2009,F,6-9,225,"November 21, 1979",Louisiana State University
Aaron Swinson,Georgia,Black,1995,1995,F,6-5,230,"January 9, 1971",Auburn University
Pape Sy,France,Black,2011,2011,F,6-7,225,"April 5, 1988",
Larry Sykes,Ohio,Black,1996,1996,F,6-9,255,"April 11, 1973",Xavier University
Brett Szabo,Iowa,White,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD)
Wally Szczerbiak,Spain,White,2000,2009,F,6-7,244,"March 5, 1977",Miami University
Zan Tabak,Croatia,White,1995,2001,C,7-0,245,"June 15, 1970",
Yuta Tabuse,Japan,Others,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii
Chris Taft,New York,Black,2006,2006,F,6-10,260,"March 10, 1985",University of Pittsburgh
Dragan Tarlac,Serbia,White,2001,2001,C,6-10,260,"May 9, 1973",
Roy Tarpley,New York,Black,1987,1995,C-F,6-11,230,"November 28, 1964",University of Michigan
Walter Tavares,Cape Verde,Black,2016,2016,C,7-3,260,"March 22, 1992",
Anthony Taylor,California,Black,1989,1989,G,6-4,175,"November 30, 1965",University of Oregon
Donell Taylor,District of Columbia,Black,2006,2007,G,6-6,180,"July 26, 1982",University of Alabama at Birmingham
Jay Taylor,Illinois,Black,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University
Jeff Taylor,Arkansas,Black,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech University
Jeffery Taylor,Sweden,Black and White,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University
Jermaine Taylor,Florida,Black,2010,2011,G,6-4,210,"December 8, 1986",University of Central Florida
Johnny Taylor,Tennessee,Black,1998,2000,F,6-9,220,"June 4, 1974",University of Tennessee at Chattanooga
Leonard Taylor,California,Black,1990,1990,F,6-8,220,"May 2, 1966",University of California
Maurice Taylor,Michigan,Black,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan
Mike Taylor,Illinois,Black,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University
Tyshawn Taylor,New Jersey,Black,2013,2014,G,6-3,185,"April 12, 1990",University of Kansas
Terry Teagle,Texas,Black,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor University
Jeff Teague,Indiana,Black,2010,2016,G,6-2,186,"June 10, 1988",Wake Forest University
Marquis Teague,Indiana,Black,2013,2014,G,6-2,189,"February 28, 1993",University of Kentucky
Mirza Teletovic,Bosnia and Herzegovina,White,2013,2016,F,6-9,242,"September 18, 1985",
Sebastian Telfair,New York,Black,2005,2015,G,6-0,165,"June 9, 1985",
Garrett Temple,Louisiana,Black,2010,2016,G,6-6,195,"May 8, 1986",Louisiana State University
Jason Terry,Washington,Black,2000,2016,G,6-2,185,"September 15, 1977",University of Arizona
Hasheem Thabeet,United Republic of Tanzania,Black,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut
Reggie Theus,California,Black,1979,1991,G,6-7,190,"October 13, 1957","University of Nevada, Las Vegas"
Peter Thibeaux,California,Black,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's College of California
David Thirdkill,Missouri,Black,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley University
Adonis Thomas,Tennessee,Black,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis
Billy Thomas,Louisiana,Black,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas
Carl Thomas,Ohio,Black,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan University
Charles Thomas,Ohio,Black,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan University
Etan Thomas,New York,Black,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University
Irving Thomas,New York,Black,1991,1991,F,6-8,225,"January 2, 1966",Florida State University
Isaiah Thomas,Washington,Black,2012,2016,G,5-9,185,"February 7, 1989",University of Washington
Isiah Thomas*,Illinois,Black,1982,1994,G,6-1,180,"April 30, 1961",Indiana University
Jamel Thomas,New York,Black,2000,2001,F,6-6,215,"March 25, 1973",Providence College
James Thomas,New York,Black,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin
Jim Thomas,Florida,Black,1984,1991,G,6-3,190,"October 19, 1960",Indiana University
John Thomas,Minnesota,Black,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota
Kenny Thomas,Georgia,Black,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico
Kurt Thomas,Texas,Black,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University
Lance Thomas,New York,Black,2012,2016,F,6-8,235,"April 24, 1988",Duke University
Malcolm Thomas,Missouri,Black and White,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University
Tim Thomas,New Jersey,Black,1998,2010,F,6-10,230,"February 26, 1977",Villanova University
Tyrus Thomas,Louisiana,Black,2007,2015,F,6-9,215,"August 17, 1986",Louisiana State University
Trey Thompkins,New York,Black,2012,2012,F,6-10,245,"May 20, 1990",University of Georgia
Bernard Thompson,Arizona,Black,1985,1989,F-G,6-6,210,"August 30, 1962","California State University, Fresno"
Billy Thompson,New Jersey,Black,1987,1992,F,6-7,195,"December 1, 1963",University of Louisville
Brooks Thompson,Texas,White,1995,1998,G,6-4,193,"July 19, 1970",Oklahoma State University
Dijon Thompson,California,Black,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles"
Hollis Thompson,California,Black,2014,2016,G-F,6-8,206,"April 3, 1991",Georgetown University
Jason Thompson,New Jersey,Black,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University
Kevin Thompson,North Carolina,Black and White,1994,1994,C-F,6-11,260,"February 7, 1971",North Carolina State University
Klay Thompson,California,Black and White,2012,2016,G,6-7,205,"February 8, 1990",Washington State University
LaSalle Thompson,Ohio,Black,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin
Mychal Thompson,Bahamas,Black,1979,1991,C-F,6-10,226,"January 30, 1955",University of Minnesota
Mychel Thompson,California,Black and White,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University
Paul Thompson,Tennessee,Black,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University
Stephen Thompson,California,Black,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University
Tristan Thompson,Canada,Black,2012,2016,F-C,6-9,238,"March 13, 1991",University of Texas at Austin
Al Thornton,Georgia,Black,2008,2011,F,6-8,220,"December 7, 1983",Florida State University
Bob Thornton,California,Black,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine"
Marcus Thornton,Louisiana,Black,2010,2016,G,6-4,205,"June 5, 1987",Louisiana State University
Otis Thorpe,Florida,Black,1985,2001,F-C,6-9,225,"August 5, 1962",Providence College
Sedale Threatt,Georgia,Black,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology
Jamaal Tinsley,New York,Black,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University
Wayman Tisdale,Oklahoma,Black,1986,1997,F-C,6-9,240,"June 9, 1964",University of Oklahoma
